stack_size,position,hand,showdown,hand_rank,net,game_id
25,Big Blind,9s 2c,,,-0.25,18928007
24.75,Small Blind,5d 5h,,,1.13,18928007
25.88,Dealer,Ad Ah,Ah Ad 4h 4c Kc,Two pair,-23.75,18928007
2.13,UTG+2,2h Js,,,0,18928007
25,UTG+1,6h Kd,,,0,18928007
25,UTG,Js As,As Ac Kh Qh Js,One pair,6.98,18928007
31.98,Big Blind,3s 7h,,,0.10,
31.98,Big Blind,5c 8c,,,-0.25,18928008
31.73,Small Blind,Qd Qs,Qs Qd Qc Jh Jd,Full House,21.17,18928008
52.90,Dealer,9s 8h,,,-0.50,18928008
52.40,UTG+2,7s 3h,,,0,18928008
52.40,UTG+1,9c Kh,Th Tc 9h 9c Kh,Two pair,4.71,18928008
57.11,UTG,5h Qc,,,0,18928008
57.11,Big Blind,Jh Ks,,,-0.75,18928008
56.36,Small Blind,Js 2h,,,-0.10,18928008
56.26,Dealer,3d 9s,,,0,18928008
56.26,UTG+2,7h As,,,1.01,18928008
57.27,UTG+1,9d Qh,,,0,18928008
57.27,UTG,7c 6s,,,-0.75,18928008
56.52,Big Blind,Qd Ks,,,2.55,18928008
59.07,Small Blind,7h 6h,7h 7d Kd Qh 6h,One pair,1.33,18928008
60.40,Dealer,Qs 8s,,,-0.75,18928008
59.65,UTG+2,Tc 9c,,,0.35,18928008
60,UTG+1,Ah 4s,,,0,18928008
60,UTG,Js 9d,,,0,18928008
60,Big Blind,4d 9s,,,-0.25,18928008
59.75,Small Blind,6h 6s,Jh Jd 6s 6h Qd,Two pair,-12.94,18928008
46.81,Dealer,Jc Th,,,2.84,18928008
49.65,UTG+2,2d 6h,,,0,
25,Big Blind,9s 8c,,,1.20,18928009
26.20,Small Blind,Js Ad,7s 7h Ad Qd Js,One pair,0.03,18928009
26.23,Dealer,9s 3c,,,0,18928009
26.23,UTG+2,Ad Ac,,,0.35,18928009
26.58,UTG,7s 5c,,,0,18928009
26.58,Big Blind,Jh Ks,Ks Kd Qc Jh 9s,One pair,4.12,18928009
30.70,Small Blind,Jc 8d,,,-0.10,18928009
30.60,Dealer,Kh Tc,,,-0.50,18928009
30.10,UTG+2,Th Tc,Th Tc As Qc 6s,One pair,8.75,18928009
38.85,UTG,2c Jc,,,0,18928009
38.85,Big Blind,Ah Tc,,,1.11,18928009
39.96,Small Blind,7s 7c,,,1.13,18928009
41.09,Dealer,7c 8h,,,-2.06,18928009
39.03,UTG+1,Qh 2c,,,0,18928009
39.03,UTG+1,7s 7c,,,0.35,18928009
39.38,UTG,8c 5h,,,0,18928009
39.38,Big Blind,7d 4h,,,-0.25,18928009
39.13,Small Blind,2s Ad,6s 6h Ad Kh Jh,One pair,0.11,18928009
39.24,Dealer,5c 2d,,,0,18928009
39.24,UTG+2,9d Qh,,,0,18928009
39.24,UTG+1,Ad 5s,,,0,18928009
39.24,UTG,8h Kh,,,0.35,18928009
39.59,Big Blind,Ks Kh,,,0.72,18928009
40.31,Small Blind,9s 8s,,,1.13,18928009
41.44,Dealer,Kh 7c,,,0,18928009
41.44,UTG+2,7c 4h,,,0,18928009
41.44,UTG+1,9d Qd,,,0.90,18928009
42.34,UTG,Ac As,As Ac Qh Js 9s,One pair,25.02,18928009
67.36,Big Blind,3h 6h,7d 7c 3s 3h 6h,Two pair,0.63,18928009
67.99,Small Blind,8c 7s,,,-0.10,18928009
67.89,Dealer,8s 2c,,,0,18928009
67.89,UTG,Ts Ah,,,0.35,18928009
68.24,Big Blind,Ks 7s,3d 3c Ks 9h 7s,One pair,-0.63,18928009
67.61,Small Blind,8h 2c,,,-0.10,
25,Big Blind,6c 6d,,,-0.75,18928010
24.25,Small Blind,6d Jc,,,-0.10,18928010
24.15,Dealer,Ks 7c,,,0,18928010
24.15,UTG+2,9s 3c,,,0,18928010
24.15,UTG,Qd Ac,,,0.35,18928010
24.50,Big Blind,Ts 3c,Ad Kd Jh Ts 6c,High Card,-0.25,18928010
24.25,Small Blind,8s 6d,,,-0.10,18928010
24.15,Dealer,7d Js,,,0,18928010
24.15,UTG+1,2c 7h,,,0,18928010
24.15,UTG,2c 2h,,,-0.75,18928010
23.40,Big Blind,3h 6c,,,-0.25,18928010
23.15,Small Blind,9h 8h,,,-0.75,18928010
22.40,Dealer,2c 5d,,,0,18928010
22.40,UTG+2,Jh Ah,,,0,
25,Big Blind,Td 9c,,,-0.55,18928011
24.45,Small Blind,Ad Th,,,0.23,18928011
24.68,Dealer,6h 2h,,,0,18928011
24.68,UTG+2,3h 8d,,,0,18928011
24.68,UTG+1,4h 6d,,,0,18928011
24.68,UTG,Qs 7c,,,0,18928011
24.68,Big Blind,Kc 8h,,,-0.25,18928011
24.43,Small Blind,2s Js,,,-0.10,18928011
24.33,Dealer,8s Jh,,,0,18928011
24.33,UTG+2,Qd Tc,,,0,18928011
24.33,UTG+1,4c 2s,,,0,18928011
24.33,UTG,6s 8s,,,0,18928011
24.33,Big Blind,Ad 6c,,,0.10,18928011
24.43,Small Blind,Kh 9d,,,-0.10,18928011
24.33,Dealer,2d 5d,,,0.90,18928011
25.23,UTG,Ah Jh,,,-1.25,18928011
23.98,Big Blind,5c Th,Th Tc Ah Qs 9c,One pair,0.71,18928011
24.69,Small Blind,9d 8d,,,-1.00,18928011
23.69,Dealer,Th 9s,,,-0.75,18928011
22.94,UTG+2,Qh 4c,,,0,18928011
22.94,UTG+1,3d 8c,,,0,18928011
22.94,UTG,3h Ah,,,1.46,18928011
24.40,Big Blind,8d 9h,,,-0.25,18928011
24.15,Small Blind,Ks Jc,Js Jh Jc Ks Kd,Full House,1.44,18928011
25.59,Dealer,Jh 3d,,,0,18928011
25.59,UTG+2,Ks Tc,,,6.43,18928011
32.02,UTG+1,3s 2h,,,0,18928011
32.02,UTG,2c 4d,,,0,18928011
32.02,Big Blind,Qh 2h,2h 2d 2c Ah Qh,Three of a kind,17.46,18928011
49.48,Small Blind,7s Kd,,,-0.10,18928011
49.38,Dealer,5s 2s,,,0,18928011
49.38,UTG+2,7d 7s,7s 7d Kh Jc 6c,One pair,-3.74,18928011
45.64,UTG+1,Js 6d,,,0,18928011
45.64,UTG,Jc Ad,,,0.35,18928011
45.99,Big Blind,4h 9d,,,-0.25,18928011
45.74,Big Blind,Ts 6s,,,-0.25,18928011
45.49,Small Blind,4c 2s,,,-0.10,18928011
45.39,Dealer,7d Ts,,,0,18928011
45.39,UTG+1,Kh 5c,,,0,18928011
45.39,UTG+1,Ks 3s,,,-2.76,18928011
42.63,UTG,2d 6c,,,0,18928011
42.63,Big Blind,7c Ac,,,0.75,18928011
43.38,Small Blind,7c 9s,,,-0.10,18928011
43.28,Dealer,Kh 5d,,,0,18928011
43.28,UTG+2,Th 6h,,,0,18928011
43.28,UTG+1,4c Th,,,0,18928011
43.28,UTG,3c Jc,,,0,18928011
43.28,Big Blind,Kd Qh,,,-1.50,18928011
